Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$2.17,-0.135,-5.857%,5543291.00,United States,,10542,Finance,Real Estate
ACU,Acme United Corporation. Common Stock,$33.78,0.08,0.237%,123698306.00,United States,1988,38847,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$19.35,-1.66,-7.901%,278156250.00,,2022,18680,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$25.45,-0.15,-0.586%,65332797.00,United States,1980,1713,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.28,-0.01,-0.189%,566874000.00,United States,,28370,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$1.55,0.16,11.511%,60639469.00,United States,,63037,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4251,-0.0239,-5.323%,21799739.00,United States,1997,188222,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.86,-0.02,-0.41%,16672230.00,United States,2014,11036,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.16,-0.17,-5.105%,10506321.00,United States,,21636,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.04,0.05,1.253%,223936598.00,,,1268,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.30,0.00,0.00%,3713289.00,China,,273,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$3.24,0.0799,2.528%,20509200.00,United States,1988,3139,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.34,0.44,8.98%,62417658.00,Canada,2000,219021,,
AREN,The Arena Group Holdings Inc. Common Stock,$0.9016,0.0416,4.837%,26687300.00,United States,2022,6853,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$3.84,0.01,0.261%,584278153.00,,2023,358613,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.85,0.15,5.556%,103040658.00,United States,,4073,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.87,-0.017,-1.917%,115769338.00,Canada,,921903,Basic Materials,Metal Mining
ASXC,Asensus Surgical Inc. Common Stock,$0.3322,0.0022,0.667%,90468582.00,United States,,1845707,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.13,0.00,0.00%,14074327.00,,2024,7140,Finance,Finance: Consumer Services
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.25,-0.05,-0.442%,0.00,,2022,2370,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.93,0.11,1.407%,236182766.00,United States,,242377,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.2765,-0.0234,-7.803%,8313066.00,United States,1997,1453504,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$25.31,-0.71,-2.729%,,United States,,830,,
AUMN,Golden Minerals Company Common Stock,$0.429,-0.031,-6.739%,6253183.00,United States,,29859,Basic Materials,Precious Metals
